,Scenario,Product,Sub-Product,Date,Volumes
0,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20201201,34786
1,Field Ops - Mass Markets - Test 7/7/2021,EAST,NORTHEAST,20190101,44454
2,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20191001,48903
3,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20200801,39536
4,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20210401,19653
5,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20190801,44817
6,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20190801,49240
7,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20201101,26559
8,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20190501,25582
9,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20200601,45531
10,Field Ops - Mass Markets - Test 7/7/2021,EAST,UNASSIGNED,20190101,9
11,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20210101,29962
12,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20200501,32999
13,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20200901,44907
14,Field Ops - Mass Markets - Test 7/7/2021,EAST,NORTHEAST,20200601,39813
15,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20210201,19885
16,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,GREAT PLAINS,20210301,32576
17,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20191201,24828
18,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20200401,44514
19,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,NV_UT_NM,20201001,29996
20,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20210201,31221
21,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20191101,22952
22,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,GREAT PLAINS,20200601,45277
23,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20201001,44482
24,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,NV_UT_NM,20190501,34825
25,Field Ops - Mass Markets - Test 7/7/2021,EAST,SOUTHEAST,20191001,44935
26,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20200301,24301
27,Field Ops - Mass Markets - Test 7/7/2021,EAST,SOUTHEAST,20201101,37945
28,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20190101,52567
29,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20200701,26567
30,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,GREAT PLAINS,20210201,30096
31,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20200301,34279
32,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20201101,22915
33,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20190601,25756
34,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20201001,27593
35,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20201001,27346
36,Field Ops - Mass Markets - Test 7/7/2021,EAST,SOUTHEAST,20191201,36269
37,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20200601,41621
38,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20190201,45137
39,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,NV_UT_NM,20200701,33506
40,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20191101,29734
41,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,GREAT PLAINS,20190401,43352
42,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20200701,38828
43,Field Ops - Mass Markets - Test 7/7/2021,EAST,NORTHEAST,20210101,32777
44,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20210301,22585
45,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20191201,28501
46,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20210401,20757
47,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20191101,23179
48,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20200201,34040
49,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20210501,22112
50,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20200601,38423
51,Field Ops - Mass Markets - Test 7/7/2021,EAST,SOUTHEAST,20200701,47546
52,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,NV_UT_NM,20200201,28728
53,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20190401,36118
54,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,OR_ID,20190501,26895
55,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,AZ,20190401,39175
56,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,UPPER MIDWEST,20200801,35877
57,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20200201,23877
58,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,WA_MT,20200701,25421
59,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20210501,30522
60,Field Ops - Mass Markets - Test 7/7/2021,NORTHERN,HEARTLAND,20201001,35154
61,Field Ops - Mass Markets - Test 7/7/2021,SOUTHWEST,NV_UT_NM,20210201,24107
62,Field Ops - Mass Markets - Test 7/7/2021,EAST,FL_TX,20190401,51663
